time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 20:00:09.547,"Huawei-Guest",7c:c3:85:7c:e1:32,-61,-78,346,917,1,0,default
2025-01-13 20:00:11.885,"Huawei-Guest",7c:c3:85:7c:e1:32,-61,-78,34,220,1,0,default
2025-01-13 20:00:13.206,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-78,27,206,1,0,default
2025-01-13 20:00:14.497,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-78,29,223,1,0,default
2025-01-13 20:00:15.830,"Huawei-Guest",7c:c3:85:7c:e1:32,-67,-78,30,309,1,0,default
2025-01-13 20:00:17.239,"Huawei-Guest",7c:c3:85:7c:e1:32,-67,-78,34,192,1,0,default
2025-01-13 20:00:18.550,"Huawei-Guest",7c:c3:85:7c:e1:32,-67,-78,32,231,1,0,default
2025-01-13 20:00:19.891,"Huawei-Guest",7c:c3:85:7c:e1:32,-67,-78,30,191,1,0,default
2025-01-13 20:00:21.206,"Huawei-Guest",7c:c3:85:7c:e1:32,-67,-78,26,195,1,0,default
2025-01-13 20:00:22.471,"Huawei-Guest",7c:c3:85:7c:e1:32,-57,-78,47,202,1,0,default
2025-01-13 20:00:23.774,"Huawei-Guest",7c:c3:85:7c:e1:32,-57,-67,29,202,1,0,default
2025-01-13 20:00:25.062,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-67,28,186,1,0,default
2025-01-13 20:00:26.344,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-67,26,199,1,0,default
2025-01-13 20:00:27.652,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-67,32,249,1,0,default
2025-01-13 20:00:29.042,"Huawei-Guest",7c:c3:85:7c:e1:32,-40,-67,33,227,1,0,default
2025-01-13 20:00:30.387,"Huawei-Guest",7c:c3:85:7c:e1:32,-40,-67,27,205,1,0,default
2025-01-13 20:00:31.691,"Huawei-Guest",7c:c3:85:7c:e1:32,-39,-67,30,205,1,0,default
2025-01-13 20:00:32.998,"Huawei-Guest",7c:c3:85:7c:e1:32,-39,-67,32,225,1,0,default
2025-01-13 20:00:34.354,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-67,27,221,1,0,default
2025-01-13 20:00:35.739,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-67,34,221,1,0,default
2025-01-13 20:00:37.097,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-67,30,224,1,0,default
2025-01-13 20:00:38.470,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-67,45,215,1,0,default
2025-01-13 20:00:39.847,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-67,54,206,1,0,default
2025-01-13 20:00:41.231,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-67,100,458,1,0,default
2025-01-13 20:00:42.973,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,47,203,1,0,default
2025-01-13 20:00:44.328,"Huawei-Guest",7c:c3:85:7c:e1:32,-52,-64,40,221,1,0,default
2025-01-13 20:00:45.673,"Huawei-Guest",7c:c3:85:7c:e1:32,-52,-64,69,213,1,0,default
2025-01-13 20:00:47.059,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,45,203,1,0,default
2025-01-13 20:00:48.389,"Huawei-Guest",7c:c3:85:7c:e1:32,-49,-64,71,204,1,0,default
2025-01-13 20:00:49.769,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-64,68,221,1,0,default
2025-01-13 20:00:51.172,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-64,46,197,1,0,default
2025-01-13 20:00:52.498,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-64,280,226,1,0,default
2025-01-13 20:00:54.105,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-64,67,215,1,0,default
2025-01-13 20:00:55.484,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-64,35,223,1,0,default
2025-01-13 20:00:56.828,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-64,71,211,1,0,default
2025-01-13 20:00:58.204,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,71,219,1,0,default
2025-01-13 20:00:59.576,"Huawei-Guest",7c:c3:85:7c:e1:32,-56,-87,2007,313,1,0,default
2025-01-13 20:01:03.101,"Huawei-Guest",7c:c3:85:7c:e1:32,-56,-87,43,216,1,0,default
2025-01-13 20:01:04.448,"Huawei-Guest",7c:c3:85:7c:e1:32,-64,-87,74,215,1,0,default
2025-01-13 20:01:05.851,"Huawei-Guest",7c:c3:85:7c:e1:32,-64,-87,137,246,1,0,default
2025-01-13 20:01:07.328,"Huawei-Guest",7c:c3:85:7c:e1:32,-64,-87,39,198,1,0,default
2025-01-13 20:01:08.658,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-87,60,209,1,0,default
2025-01-13 20:01:09.998,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-87,170,206,1,0,default
2025-01-13 20:01:11.467,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-87,39,210,1,0,default
2025-01-13 20:01:12.784,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-87,55,280,1,0,default
2025-01-13 20:01:14.211,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-87,200,617,1,0,default
