time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 19:44:01.745,"Huawei-Guest",ac:75:1d:f6:30:f2,-49,-83,391,839,1,0,default
2025-01-13 19:44:04.042,"Huawei-Guest",ac:75:1d:f6:30:f2,-49,-83,60,250,1,0,default
2025-01-13 19:44:05.418,"Huawei-Guest",ac:75:1d:f6:30:f2,-59,-83,42,217,1,0,default
2025-01-13 19:44:06.746,"Huawei-Guest",ac:75:1d:f6:30:f2,-59,-83,69,226,1,0,default
2025-01-13 19:44:08.141,"Huawei-Guest",ac:75:1d:f6:30:f2,-59,-78,41,202,1,0,default
2025-01-13 19:44:09.475,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-78,44,235,1,0,default
2025-01-13 19:44:10.845,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-78,41,222,1,0,default
2025-01-13 19:44:12.189,"Huawei-Guest",ac:75:1d:f6:30:f2,-59,-78,43,224,1,0,default
2025-01-13 19:44:13.543,"Huawei-Guest",ac:75:1d:f6:30:f2,-59,-78,37,200,1,0,default
2025-01-13 19:44:14.874,"Huawei-Guest",ac:75:1d:f6:30:f2,-64,-78,31,220,1,0,default
2025-01-13 19:44:16.189,"Huawei-Guest",ac:75:1d:f6:30:f2,-64,-78,35,216,1,0,default
2025-01-13 19:44:17.538,"Huawei-Guest",ac:75:1d:f6:30:f2,-68,-78,29,247,1,0,default
2025-01-13 19:44:18.885,"Huawei-Guest",ac:75:1d:f6:30:f2,-68,-66,428,255,1,0,default
2025-01-13 19:44:20.685,"Huawei-Guest",ac:75:1d:f6:30:f2,-74,-66,290,412,1,0,default
2025-01-13 19:44:22.499,"Huawei-Guest",7c:c3:85:7c:e1:32,-74,-66,32,269,1,0,default
2025-01-13 19:44:23.903,"Huawei-Guest",7c:c3:85:7c:e1:32,-54,-66,44,203,1,0,default
2025-01-13 19:44:25.297,"Huawei-Guest",7c:c3:85:7c:e1:32,-54,-66,50,232,1,0,default
2025-01-13 19:44:26.675,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-66,72,226,1,0,default
2025-01-13 19:44:28.057,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-66,92,216,1,0,default
2025-01-13 19:44:29.487,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-66,44,233,1,0,default
2025-01-13 19:44:30.875,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-62,41,241,1,0,default
2025-01-13 19:44:32.272,"Huawei-Guest",7c:c3:85:7c:e1:32,-59,-62,103,219,1,0,default
2025-01-13 19:44:33.710,"Huawei-Guest",7c:c3:85:7c:e1:32,-51,-62,152,321,1,0,default
2025-01-13 19:44:35.292,"Huawei-Guest",7c:c3:85:7c:e1:32,-51,-62,74,249,1,0,default
2025-01-13 19:44:36.735,"Huawei-Guest",7c:c3:85:7c:e1:32,-52,-62,69,226,1,0,default
2025-01-13 19:44:38.130,"Huawei-Guest",7c:c3:85:7c:e1:32,-52,-62,46,207,1,0,default
2025-01-13 19:44:39.514,"Huawei-Guest",7c:c3:85:7c:e1:32,-45,-62,45,209,1,0,default
2025-01-13 19:44:40.892,"Huawei-Guest",7c:c3:85:7c:e1:32,-45,-62,69,213,1,0,default
2025-01-13 19:44:42.276,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-62,48,212,1,0,default
2025-01-13 19:44:43.664,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-77,47,210,1,0,default
2025-01-13 19:44:45.011,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-77,78,229,1,0,default
2025-01-13 19:44:46.422,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-77,46,218,1,0,default
2025-01-13 19:44:47.809,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-77,147,235,1,0,default
2025-01-13 19:44:49.289,"Huawei-Guest",7c:c3:85:7c:e1:32,-53,-77,45,270,1,0,default
2025-01-13 19:44:50.729,"Huawei-Guest",7c:c3:85:7c:e1:32,-53,-77,68,205,1,0,default
2025-01-13 19:44:52.122,"Huawei-Guest",7c:c3:85:7c:e1:32,-60,-77,44,206,1,0,default
2025-01-13 19:44:53.493,"Huawei-Guest",7c:c3:85:7c:e1:32,-60,-77,77,194,1,0,default
2025-01-13 19:44:54.874,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-77,46,218,1,0,default
2025-01-13 19:44:56.252,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-77,58,236,1,0,default
2025-01-13 19:44:57.628,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-77,74,256,1,0,default
2025-01-13 19:44:59.058,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-77,32,326,1,0,default
2025-01-13 19:45:00.528,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-77,33,217,1,0,default
2025-01-13 19:45:01.876,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-99,43,230,1,0,default
2025-01-13 19:45:03.248,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-99,67,216,1,0,default
2025-01-13 19:45:04.630,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-99,141,298,1,0,default
2025-01-13 19:45:06.170,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-99,31,246,1,0,default
2025-01-13 19:45:07.522,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,35,286,1,0,default
2025-01-13 19:45:08.925,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,39,340,1,0,default
2025-01-13 19:45:10.383,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,44,242,1,0,default
2025-01-13 19:45:11.777,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,44,206,1,0,default
2025-01-13 19:45:13.107,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,53,211,1,0,default
2025-01-13 19:45:14.474,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-99,65,198,1,0,Door2_1
2025-01-13 19:45:15.815,"Huawei-Guest",7c:c3:85:7c:e1:32,-79,-99,85,217,1,0,default
2025-01-13 19:45:17.192,"Huawei-Guest",7c:c3:85:7c:e1:32,-79,-99,101,451,1,0,default
