time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 17:43:39.242,"Huawei-Guest",7c:c3:85:7c:e1:32,-74,-82,465,865,1,0,default
2025-01-13 17:43:41.625,"Huawei-Guest",ac:75:1d:f6:30:f2,-74,-82,35,207,1,0,default
2025-01-13 17:43:42.916,"Huawei-Guest",ac:75:1d:f6:30:f2,-74,-82,140,215,1,0,default
2025-01-13 17:43:44.351,"Huawei-Guest",ac:75:1d:f6:30:f2,-60,-82,56,215,1,0,default
2025-01-13 17:43:45.707,"Huawei-Guest",ac:75:1d:f6:30:f2,-60,-82,46,220,1,0,default
2025-01-13 17:43:47.056,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-82,45,226,1,0,default
2025-01-13 17:43:48.407,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-82,47,222,1,0,default
2025-01-13 17:43:49.752,"Huawei-Guest",ac:75:1d:f6:30:f2,-65,-74,32,252,1,0,default
2025-01-13 17:43:51.121,"Huawei-Guest",ac:75:1d:f6:30:f2,-65,-74,84,228,1,0,default
2025-01-13 17:43:52.527,"Huawei-Guest",ac:75:1d:f6:30:f2,-64,-74,67,232,1,0,default
2025-01-13 17:43:53.900,"Huawei-Guest",ac:75:1d:f6:30:f2,-64,-74,82,263,1,0,default
2025-01-13 17:43:55.305,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-74,1008,255,1,0,default
2025-01-13 17:43:57.666,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-74,150,275,1,0,default
2025-01-13 17:43:59.203,"Huawei-Guest",ac:75:1d:f6:30:f2,-73,-74,253,323,1,0,default
2025-01-13 17:44:00.881,"Huawei-Guest",ac:75:1d:d7:dd:72,-73,-74,116,261,1,0,default
2025-01-13 17:44:02.349,"Huawei-Guest",ac:75:1d:d7:dd:72,-73,-74,44,229,1,0,default
2025-01-13 17:44:03.692,"Huawei-Guest",ac:75:1d:d7:dd:72,-73,-74,162,295,1,0,default
2025-01-13 17:44:05.235,"Huawei-Guest",ac:75:1d:d7:dd:72,-77,-66,121,274,1,0,default
2025-01-13 17:44:06.755,"Huawei-Guest",ac:75:1d:d7:dd:72,-77,-66,89,459,1,0,default
2025-01-13 17:44:08.396,"Huawei-Guest",ac:75:1d:f3:79:32,-53,-66,41,320,1,0,default
2025-01-13 17:44:09.861,"Huawei-Guest",ac:75:1d:f3:79:32,-53,-66,168,287,1,0,default
2025-01-13 17:44:11.414,"Huawei-Guest",ac:75:1d:f3:79:32,-61,-66,37,414,1,0,default
2025-01-13 17:44:12.965,"Huawei-Guest",ac:75:1d:f3:79:32,-61,-66,45,290,1,0,default
2025-01-13 17:44:14.392,"Huawei-Guest",ac:75:1d:f3:79:32,-63,-66,51,315,1,0,default
2025-01-13 17:44:15.848,"Huawei-Guest",ac:75:1d:f3:79:32,-63,-66,47,247,1,0,default
2025-01-13 17:44:17.253,"Huawei-Guest",ac:75:1d:f3:79:32,-61,-66,29,311,1,0,default
2025-01-13 17:44:18.694,"Huawei-Guest",ac:75:1d:f3:79:32,-61,-66,38,245,1,0,default
2025-01-13 17:44:20.027,"Huawei-Guest",ac:75:1d:f3:79:32,-64,-66,30,307,1,0,default
