time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 17:45:20.294,"Huawei-Guest",ac:75:1d:f6:30:f2,-53,-81,468,1165,1,0,default
2025-01-13 17:45:23.003,"Huawei-Guest",ac:75:1d:f6:30:f2,-53,-81,35,203,1,0,default
2025-01-13 17:45:24.313,"Huawei-Guest",ac:75:1d:f6:30:f2,-56,-81,45,213,1,0,default
2025-01-13 17:45:25.648,"Huawei-Guest",ac:75:1d:f6:30:f2,-56,-81,44,231,1,0,default
2025-01-13 17:45:26.992,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-81,45,195,1,0,default
2025-01-13 17:45:28.286,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-81,46,201,1,0,default
2025-01-13 17:45:29.607,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-74,34,229,1,0,default
2025-01-13 17:45:30.946,"Huawei-Guest",ac:75:1d:f6:30:f2,-58,-74,45,208,1,0,default
2025-01-13 17:45:32.274,"Huawei-Guest",ac:75:1d:f6:30:f2,-58,-74,52,294,1,0,default
2025-01-13 17:45:33.706,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-74,51,239,1,0,default
2025-01-13 17:45:35.104,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-74,82,832,1,0,default
2025-01-13 17:45:37.115,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-74,128,246,1,0,default
2025-01-13 17:45:38.617,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-74,41,369,1,0,default
2025-01-13 17:45:40.134,"Huawei-Guest",7c:c3:85:7c:db:d2,-73,-64,36,233,1,0,default
2025-01-13 17:45:41.455,"Huawei-Guest",7c:c3:85:7c:db:d2,-73,-64,30,194,1,0,default
2025-01-13 17:45:42.742,"Huawei-Guest",7c:c3:85:7c:db:d2,-52,-64,34,208,1,0,default
2025-01-13 17:45:44.041,"Huawei-Guest",7c:c3:85:7c:db:d2,-52,-64,34,194,1,0,default
2025-01-13 17:45:45.324,"Huawei-Guest",7c:c3:85:7c:db:d2,-51,-64,32,190,1,0,default
2025-01-13 17:45:46.606,"Huawei-Guest",7c:c3:85:7c:db:d2,-51,-64,36,218,1,0,default
2025-01-13 17:45:47.938,"Huawei-Guest",7c:c3:85:7c:db:d2,-51,-64,36,220,1,0,default
2025-01-13 17:45:49.274,"Huawei-Guest",7c:c3:85:7c:db:d2,-52,-64,68,221,1,0,default
2025-01-13 17:45:50.684,"Huawei-Guest",7c:c3:85:7c:db:d2,-52,-67,90,288,1,0,default
2025-01-13 17:45:52.170,"Huawei-Guest",7c:c3:85:7c:db:d2,-53,-67,93,314,1,0,default
2025-01-13 17:45:53.693,"Huawei-Guest",7c:c3:85:7c:db:d2,-53,-67,50,208,1,0,default
2025-01-13 17:45:55.063,"Huawei-Guest",7c:c3:85:7c:db:d2,-53,-67,50,212,1,0,default
2025-01-13 17:45:56.436,"Huawei-Guest",7c:c3:85:7c:db:d2,-53,-67,54,220,1,0,default
2025-01-13 17:45:57.827,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-67,46,200,1,0,default
2025-01-13 17:45:59.154,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-67,48,195,1,0,default
2025-01-13 17:46:00.510,"Huawei-Guest",7c:c3:85:7c:db:d2,-57,-67,49,215,1,0,default
2025-01-13 17:46:01.869,"Huawei-Guest",7c:c3:85:7c:db:d2,-57,-67,45,189,1,0,default
2025-01-13 17:46:03.206,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-67,52,216,1,0,default
2025-01-13 17:46:04.568,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-67,92,267,1,0,default
2025-01-13 17:46:06.054,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-78,97,200,1,0,default
2025-01-13 17:46:07.474,"Huawei-Guest",7c:c3:85:7c:db:d2,-61,-78,93,254,1,0,default
