time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 19:28:36.892,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-89,235,752,1,0,default
2025-01-13 19:28:38.933,"Huawei-Guest",ac:75:1d:f6:30:f2,-73,-89,51,234,1,0,default
2025-01-13 19:28:40.288,"Huawei-Guest",ac:75:1d:f6:30:f2,-58,-89,128,273,1,0,default
2025-01-13 19:28:41.760,"Huawei-Guest",ac:75:1d:f6:30:f2,-58,-89,67,213,1,0,default
2025-01-13 19:28:43.113,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-89,33,213,1,0,default
2025-01-13 19:28:44.428,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-89,68,223,1,0,default
2025-01-13 19:28:45.797,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-76,43,231,1,0,default
2025-01-13 19:28:47.146,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-76,76,223,1,0,default
2025-01-13 19:28:48.514,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-76,113,241,1,0,default
2025-01-13 19:28:49.934,"Huawei-Guest",ac:75:1d:f6:30:f2,-63,-76,85,560,1,0,default
2025-01-13 19:28:51.645,"Huawei-Guest",ac:75:1d:f6:30:f2,-63,-76,47,234,1,0,default
2025-01-13 19:28:52.977,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-76,75,310,1,0,default
2025-01-13 19:28:54.409,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-76,224,442,1,0,default
2025-01-13 19:28:56.124,"Huawei-Guest",ac:75:1d:f6:30:f2,-72,-76,42,264,1,0,default
2025-01-13 19:28:57.534,"Huawei-Guest",7c:c3:85:7c:db:d2,-72,-74,48,226,1,0,default
2025-01-13 19:28:58.854,"Huawei-Guest",7c:c3:85:7c:db:d2,-54,-74,170,286,1,0,default
2025-01-13 19:29:00.357,"Huawei-Guest",7c:c3:85:7c:db:d2,-54,-74,37,194,1,0,default
2025-01-13 19:29:01.736,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-74,51,244,1,0,default
2025-01-13 19:29:03.116,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-74,29,235,1,0,default
2025-01-13 19:29:04.452,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-74,43,195,1,0,default
2025-01-13 19:29:05.771,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-74,41,225,1,0,default
2025-01-13 19:29:07.112,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-74,39,231,1,0,default
2025-01-13 19:29:08.459,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-74,74,252,1,0,default
2025-01-13 19:29:09.906,"Huawei-Guest",7c:c3:85:7c:db:d2,-55,-74,75,218,1,0,default
2025-01-13 19:29:11.285,"Huawei-Guest",7c:c3:85:7c:db:d2,-57,-74,44,211,1,0,default
2025-01-13 19:29:12.660,"Huawei-Guest",7c:c3:85:7c:db:d2,-57,-74,46,243,1,0,default
2025-01-13 19:29:14.049,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-74,70,226,1,0,default
2025-01-13 19:29:15.463,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-74,83,223,1,0,default
2025-01-13 19:29:16.897,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-74,153,414,1,0,default
2025-01-13 19:29:18.671,"Huawei-Guest",7c:c3:85:7c:db:d2,-58,-75,42,237,1,0,default
2025-01-13 19:29:19.997,"Huawei-Guest",7c:c3:85:7c:db:d2,-62,-75,67,236,1,0,default
2025-01-13 19:29:21.400,"Huawei-Guest",7c:c3:85:7c:db:d2,-66,-75,699,369,1,0,default
2025-01-13 19:29:23.634,"Huawei-Guest",7c:c3:85:7c:db:d2,-71,-75,1902,413,1,0,default
2025-01-13 19:29:27.118,"Huawei-Guest",7c:c3:85:7c:e1:32,-71,-75,121,336,1,0,default
2025-01-13 19:29:28.617,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-75,48,207,1,0,default
2025-01-13 19:29:29.919,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-75,32,203,1,0,default
2025-01-13 19:29:31.202,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-97,40,187,1,0,default
2025-01-13 19:29:32.495,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-97,41,229,1,0,default
2025-01-13 19:29:33.834,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-97,42,199,1,0,default
2025-01-13 19:29:35.133,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-97,198,428,1,0,default
2025-01-13 19:29:36.805,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-97,44,202,1,0,default
2025-01-13 19:29:38.094,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-97,42,220,1,0,default
2025-01-13 19:29:39.399,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-97,30,241,1,0,default
2025-01-13 19:29:40.742,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-97,41,216,1,0,default
2025-01-13 19:29:42.083,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-97,68,225,1,0,default
2025-01-13 19:29:43.445,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-97,52,225,1,0,Door2_1
