time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:35:38.678,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-70,142,296,1,0,default
2025-01-13 14:35:40.137,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-70,141,437,1,0,default
2025-01-13 14:35:41.743,"Huawei-Guest",7c:c3:85:7c:e2:52,-48,-70,30,219,1,0,default
2025-01-13 14:35:43.038,"Huawei-Guest",7c:c3:85:7c:e2:52,-48,-70,37,358,1,0,default
2025-01-13 14:35:44.456,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-70,49,359,1,0,default
2025-01-13 14:35:45.894,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-70,77,265,1,0,default
2025-01-13 14:35:47.269,"Huawei-Guest",7c:c3:85:7c:e2:52,-43,-70,49,194,1,0,default
2025-01-13 14:35:48.663,"Huawei-Guest",7c:c3:85:7c:e2:52,-45,-70,50,189,1,0,default
2025-01-13 14:35:49.951,"Huawei-Guest",7c:c3:85:7c:e2:52,-45,-70,117,186,1,0,default
2025-01-13 14:35:51.305,"Huawei-Guest",7c:c3:85:7c:e2:52,-47,-70,50,373,1,0,default
2025-01-13 14:35:52.753,"Huawei-Guest",7c:c3:85:7c:e2:52,-52,-70,44,364,1,0,default
2025-01-13 14:35:54.190,"Huawei-Guest",7c:c3:85:7c:e2:52,-53,-70,56,245,1,0,default
2025-01-13 14:35:55.529,"Huawei-Guest",7c:c3:85:7c:e2:52,-55,-70,58,196,1,0,default
2025-01-13 14:35:56.830,"Huawei-Guest",7c:c3:85:7c:e2:52,-54,-70,49,268,1,0,default
2025-01-13 14:35:58.183,"Huawei-Guest",7c:c3:85:7c:e2:52,-54,-70,64,233,1,0,default
2025-01-13 14:35:59.516,"Huawei-Guest",7c:c3:85:7c:e2:52,-61,-70,178,199,1,0,default
2025-01-13 14:36:00.970,"Huawei-Guest",7c:c3:85:7c:e2:52,-66,-70,75,536,1,0,default
2025-01-13 14:36:02.615,"Huawei-Guest",7c:c3:85:7c:e2:52,-70,-70,181,208,1,0,default
2025-01-13 14:36:04.076,"Huawei-Guest",7c:c3:85:7c:e2:52,-71,-70,57,310,1,0,default
2025-01-13 14:36:05.471,"Huawei-Guest",7c:c3:85:7c:e2:52,-73,-70,332,364,1,0,default
2025-01-13 14:36:07.207,"Huawei-Guest",7c:c3:85:7c:e2:52,-72,-70,73,338,1,0,default
2025-01-13 14:36:08.661,"Huawei-Guest",7c:c3:85:7c:e2:52,-69,-70,50,208,1,0,default
2025-01-13 14:36:10.071,"Huawei-Guest",7c:c3:85:7c:e2:52,-70,-70,57,341,1,0,default
2025-01-13 14:36:11.504,"Huawei-Guest",7c:c3:85:7c:e2:52,-77,-70,186,477,1,0,default
2025-01-13 14:36:13.238,"Huawei-Guest",7c:c3:85:7c:e1:32,-83,-70,40,213,1,0,default
2025-01-13 14:36:14.528,"Huawei-Guest",7c:c3:85:7c:e1:32,-71,-70,340,395,1,0,default
2025-01-13 14:36:16.303,"Huawei-Guest",7c:c3:85:7c:e1:32,-73,-70,271,274,1,0,default
2025-01-13 14:36:17.886,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-89,86,247,1,0,default
2025-01-13 14:36:19.269,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-89,62,597,1,0,default
2025-01-13 14:36:20.969,"Huawei-Guest",7c:c3:85:7c:e1:32,-80,-89,112,510,1,0,default
2025-01-13 14:36:22.841,"Huawei-Guest",7c:c3:85:7c:e1:32,-81,-89,56,201,1,0,default
2025-01-13 14:36:24.145,"Huawei-Guest",7c:c3:85:7c:e1:32,-85,-89,297,283,1,0,default
2025-01-13 14:36:25.780,"Huawei-Guest",7c:c3:85:7c:e1:32,-85,-89,33,257,1,0,Door1_1
