time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:24:32.856,"Huawei-Guest",ac:75:1d:f6:30:f2,-56,-87,37,286,1,0,default
2025-01-13 14:24:34.211,"Huawei-Guest",ac:75:1d:f6:30:f2,-55,-87,78,322,1,0,default
2025-01-13 14:24:35.642,"Huawei-Guest",ac:75:1d:f6:30:f2,-58,-87,48,248,1,0,default
2025-01-13 14:24:36.975,"Huawei-Guest",ac:75:1d:f6:30:f2,-60,-87,36,367,1,0,default
2025-01-13 14:24:38.404,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-87,48,361,1,0,default
2025-01-13 14:24:39.851,"Huawei-Guest",ac:75:1d:f6:30:f2,-63,-87,47,751,1,0,default
2025-01-13 14:24:41.693,"Huawei-Guest",ac:75:1d:f6:30:f2,-61,-87,55,219,1,0,default
2025-01-13 14:24:43.006,"Huawei-Guest",ac:75:1d:f6:30:f2,-62,-87,50,360,1,0,default
2025-01-13 14:24:44.442,"Huawei-Guest",ac:75:1d:f6:30:f2,-67,-87,48,460,1,0,default
2025-01-13 14:24:45.981,"Huawei-Guest",ac:75:1d:f6:30:f2,-66,-87,35,379,1,0,default
2025-01-13 14:24:47.424,"Huawei-Guest",ac:75:1d:f6:30:f2,-69,-87,39,344,1,0,default
2025-01-13 14:24:48.841,"Huawei-Guest",ac:75:1d:f6:30:f2,-70,-87,36,292,1,0,default
2025-01-13 14:24:50.234,"Huawei-Guest",ac:75:1d:f6:30:f2,-71,-87,78,275,1,0,default
2025-01-13 14:24:51.636,"Huawei-Guest",ac:75:1d:f6:30:f2,-71,-87,47,204,1,0,default
2025-01-13 14:24:52.935,"Huawei-Guest",ac:75:1d:f6:30:f2,-76,-87,194,232,1,0,default
2025-01-13 14:24:54.554,"Huawei-Guest",ac:75:1d:f6:30:f2,-45,-87,312,309,1,0,default
2025-01-13 14:24:56.204,"Huawei-Guest",7c:c3:85:7c:e1:32,-41,-87,36,185,1,0,default
2025-01-13 14:24:57.475,"Huawei-Guest",7c:c3:85:7c:e1:32,-47,-87,55,226,1,0,default
2025-01-13 14:24:58.794,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-87,40,200,1,0,default
2025-01-13 14:25:00.216,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,55,216,1,0,default
2025-01-13 14:25:01.540,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-87,39,374,1,0,default
2025-01-13 14:25:02.989,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,54,453,1,0,default
2025-01-13 14:25:04.530,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,36,361,1,0,default
2025-01-13 14:25:06.048,"Huawei-Guest",7c:c3:85:7c:e1:32,-60,-87,61,229,1,0,default
2025-01-13 14:25:07.380,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-87,246,213,1,0,default
2025-01-13 14:25:08.881,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-87,37,310,1,0,default
2025-01-13 14:25:10.324,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-87,28,196,1,0,default
2025-01-13 14:25:11.609,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-87,44,231,1,0,default
2025-01-13 14:25:12.982,"Huawei-Guest",7c:c3:85:7c:e1:32,-82,-87,28,603,1,0,default
2025-01-13 14:25:15.455,"Huawei-Guest",7c:c3:85:7c:e1:32,-83,-87,211,225,1,0,default
2025-01-13 14:25:16.939,"Huawei-Guest",7c:c3:85:7c:e1:32,-83,-87,55,201,1,0,default
2025-01-13 14:25:18.299,"Huawei-Guest",7c:c3:85:7c:e1:32,-85,-87,221,178,1,0,default
2025-01-13 14:25:19.753,"Huawei-Guest",7c:c3:85:7c:e1:32,-87,-87,497,354,1,0,Door1_1
