time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:14:20.814,"Huawei-Guest",7c:c3:85:7c:e2:52,-52,-87,83,241,1,0,default
2025-01-13 14:14:22.170,"Huawei-Guest",7c:c3:85:7c:e2:52,-49,-87,25,389,1,0,default
2025-01-13 14:14:23.615,"Huawei-Guest",7c:c3:85:7c:e2:52,-49,-87,33,380,1,0,default
2025-01-13 14:14:25.061,"Huawei-Guest",7c:c3:85:7c:e2:52,-47,-87,46,244,1,0,default
2025-01-13 14:14:26.383,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-87,45,553,1,0,default
2025-01-13 14:14:28.013,"Huawei-Guest",7c:c3:85:7c:e2:52,-43,-87,47,365,1,0,default
2025-01-13 14:14:29.452,"Huawei-Guest",7c:c3:85:7c:e2:52,-41,-87,46,249,1,0,default
2025-01-13 14:14:30.794,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-87,71,191,1,0,default
2025-01-13 14:14:32.097,"Huawei-Guest",7c:c3:85:7c:e2:52,-42,-87,45,485,1,0,default
2025-01-13 14:14:33.659,"Huawei-Guest",7c:c3:85:7c:e2:52,-47,-87,50,193,1,0,default
2025-01-13 14:14:34.937,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-87,44,206,1,0,default
2025-01-13 14:14:36.213,"Huawei-Guest",7c:c3:85:7c:e2:52,-54,-87,54,248,1,0,default
2025-01-13 14:14:37.545,"Huawei-Guest",7c:c3:85:7c:e2:52,-52,-87,25,378,1,0,default
2025-01-13 14:14:38.978,"Huawei-Guest",7c:c3:85:7c:e2:52,-55,-87,34,369,1,0,default
2025-01-13 14:14:40.415,"Huawei-Guest",7c:c3:85:7c:e2:52,-59,-87,52,238,1,0,default
2025-01-13 14:14:41.865,"Huawei-Guest",7c:c3:85:7c:e2:52,-64,-87,34,210,1,0,default
2025-01-13 14:14:43.150,"Huawei-Guest",7c:c3:85:7c:e2:52,-68,-87,226,309,1,0,default
2025-01-13 14:14:44.712,"Huawei-Guest",7c:c3:85:7c:e2:52,-68,-87,47,196,1,0,default
2025-01-13 14:14:45.991,"Huawei-Guest",7c:c3:85:7c:e2:52,-74,-87,26,207,1,0,default
2025-01-13 14:14:47.560,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,39,269,1,0,default
2025-01-13 14:14:48.893,"Huawei-Guest",7c:c3:85:7c:e1:32,-45,-87,34,363,1,0,default
2025-01-13 14:14:50.321,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,45,359,1,0,default
2025-01-13 14:14:51.746,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-87,33,208,1,0,default
2025-01-13 14:14:53.014,"Huawei-Guest",7c:c3:85:7c:e1:32,-52,-87,44,209,1,0,default
2025-01-13 14:14:54.412,"Huawei-Guest",7c:c3:85:7c:e1:32,-66,-87,33,208,1,0,default
2025-01-13 14:14:55.874,"Huawei-Guest",7c:c3:85:7c:e1:32,-74,-87,239,415,1,0,default
2025-01-13 14:14:57.685,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-87,170,270,1,0,default
2025-01-13 14:14:59.175,"Huawei-Guest",7c:c3:85:7c:e1:32,-75,-87,163,658,1,0,default
2025-01-13 14:15:01.071,"Huawei-Guest",7c:c3:85:7c:e1:32,-80,-87,60,213,1,0,default
2025-01-13 14:15:03.121,"Huawei-Guest",7c:c3:85:7c:e1:32,-81,-87,40,287,1,0,default
2025-01-13 14:15:04.489,"Huawei-Guest",7c:c3:85:7c:e1:32,-82,-87,49,317,1,0,default
2025-01-13 14:15:05.915,"Huawei-Guest",7c:c3:85:7c:e1:32,-83,-87,221,201,1,0,default
2025-01-13 14:15:07.422,"Huawei-Guest",7c:c3:85:7c:e1:32,-84,-87,24,376,1,0,Door1_1
