time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:05:33.115,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-75,248,1167,1,0,default
2025-01-13 14:05:35.625,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-75,57,248,1,0,default
2025-01-13 14:05:36.942,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-75,26,281,1,0,default
2025-01-13 14:05:38.412,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-75,51,183,1,0,default
2025-01-13 14:05:39.692,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-75,35,204,1,0,default
2025-01-13 14:05:40.962,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-75,61,201,1,0,default
2025-01-13 14:05:42.333,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-75,50,203,1,0,default
2025-01-13 14:05:43.626,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-75,35,364,1,0,default
2025-01-13 14:05:45.048,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-75,54,185,1,0,default
2025-01-13 14:05:46.316,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-75,54,214,1,0,default
2025-01-13 14:05:47.613,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-75,77,202,1,0,default
2025-01-13 14:05:48.925,"Huawei-Guest",7c:c3:85:7c:e2:52,-60,-75,54,178,1,0,default
2025-01-13 14:05:50.197,"Huawei-Guest",7c:c3:85:7c:e2:52,-66,-75,70,449,1,0,default
2025-01-13 14:05:51.835,"Huawei-Guest",7c:c3:85:7c:e2:52,-69,-75,61,212,1,0,default
2025-01-13 14:05:53.150,"Huawei-Guest",7c:c3:85:7c:e2:52,-72,-75,196,250,1,0,default
2025-01-13 14:05:54.754,"Huawei-Guest",7c:c3:85:7c:e2:52,-74,-75,39,245,1,0,default
2025-01-13 14:05:56.072,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-75,36,195,1,0,default
2025-01-13 14:05:57.340,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-75,28,243,1,0,default
2025-01-13 14:05:58.640,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-75,30,391,1,0,default
2025-01-13 14:06:00.081,"Huawei-Guest",7c:c3:85:7c:e1:32,-48,-75,52,360,1,0,default
2025-01-13 14:06:01.524,"Huawei-Guest",7c:c3:85:7c:e1:32,-55,-75,54,209,1,0,default
2025-01-13 14:06:02.835,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-75,132,295,1,0,default
2025-01-13 14:06:04.375,"Huawei-Guest",7c:c3:85:7c:e1:32,-76,-75,66,209,1,0,default
2025-01-13 14:06:05.784,"Huawei-Guest",7c:c3:85:7c:e1:32,-77,-75,31,390,1,0,default
2025-01-13 14:06:07.236,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,26,598,1,0,default
2025-01-13 14:06:08.938,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,41,321,1,0,default
2025-01-13 14:06:10.342,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,55,188,1,0,default
2025-01-13 14:06:11.642,"Huawei-Guest",7c:c3:85:7c:e1:32,-80,-75,60,263,1,0,default
2025-01-13 14:06:13.001,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,60,185,1,0,default
2025-01-13 14:06:15.093,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,55,282,1,0,default
2025-01-13 14:06:16.487,"Huawei-Guest",7c:c3:85:7c:e1:32,-78,-75,49,443,1,0,default
2025-01-13 14:06:18.014,"Huawei-Guest",7c:c3:85:7c:e1:32,-79,-75,48,242,1,0,Door1_1
2025-01-13 14:06:19.345,"Huawei-Guest",7c:c3:85:7c:e1:32,-79,-75,63,340,1,0,default
