time,ssid,bssid,rssi,rsrp1,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 14:27:07.064,"Huawei-Guest",7c:c3:85:7c:e2:52,-50,-70,34,229,1,0,default
2025-01-13 14:27:08.350,"Huawei-Guest",7c:c3:85:7c:e2:52,-47,-70,48,368,1,0,default
2025-01-13 14:27:09.794,"Huawei-Guest",7c:c3:85:7c:e2:52,-48,-70,47,221,1,0,default
2025-01-13 14:27:11.089,"Huawei-Guest",7c:c3:85:7c:e2:52,-49,-70,26,261,1,0,default
2025-01-13 14:27:12.424,"Huawei-Guest",7c:c3:85:7c:e2:52,-47,-70,50,188,1,0,default
2025-01-13 14:27:13.701,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-70,79,292,1,0,default
2025-01-13 14:27:15.220,"Huawei-Guest",7c:c3:85:7c:e2:52,-46,-70,56,290,1,0,default
2025-01-13 14:27:16.727,"Huawei-Guest",7c:c3:85:7c:e2:52,-45,-70,42,288,1,0,default
2025-01-13 14:27:18.090,"Huawei-Guest",7c:c3:85:7c:e2:52,-44,-70,36,387,1,0,default
2025-01-13 14:27:19.550,"Huawei-Guest",7c:c3:85:7c:e2:52,-49,-70,38,211,1,0,default
2025-01-13 14:27:20.857,"Huawei-Guest",7c:c3:85:7c:e2:52,-52,-70,47,243,1,0,default
2025-01-13 14:27:22.181,"Huawei-Guest",7c:c3:85:7c:e2:52,-51,-70,48,353,1,0,default
2025-01-13 14:27:23.617,"Huawei-Guest",7c:c3:85:7c:e2:52,-57,-70,48,248,1,0,default
2025-01-13 14:27:24.950,"Huawei-Guest",7c:c3:85:7c:e2:52,-53,-70,61,239,1,0,default
2025-01-13 14:27:26.281,"Huawei-Guest",7c:c3:85:7c:e2:52,-57,-70,63,187,1,0,default
2025-01-13 14:27:27.565,"Huawei-Guest",7c:c3:85:7c:e2:52,-60,-70,49,184,1,0,default
2025-01-13 14:27:29.036,"Huawei-Guest",7c:c3:85:7c:e2:52,-68,-70,410,311,1,0,default
2025-01-13 14:27:30.866,"Huawei-Guest",7c:c3:85:7c:e2:52,-70,-70,57,280,1,0,default
2025-01-13 14:27:32.274,"Huawei-Guest",7c:c3:85:7c:e2:52,-72,-70,153,208,1,0,default
2025-01-13 14:27:33.878,"Huawei-Guest",7c:c3:85:7c:e2:52,-74,-70,34,209,1,0,default
2025-01-13 14:27:35.170,"Huawei-Guest",7c:c3:85:7c:e1:32,-71,-70,43,287,1,0,default
2025-01-13 14:27:36.528,"Huawei-Guest",7c:c3:85:7c:e1:32,-43,-70,52,302,1,0,default
2025-01-13 14:27:37.917,"Huawei-Guest",7c:c3:85:7c:e1:32,-44,-70,46,361,1,0,default
2025-01-13 14:27:39.360,"Huawei-Guest",7c:c3:85:7c:e1:32,-54,-70,60,201,1,0,default
2025-01-13 14:27:40.664,"Huawei-Guest",7c:c3:85:7c:e1:32,-62,-70,48,292,1,0,default
2025-01-13 14:27:42.030,"Huawei-Guest",7c:c3:85:7c:e1:32,-68,-70,293,200,1,0,default
2025-01-13 14:27:43.551,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-70,49,371,1,0,default
2025-01-13 14:27:45.001,"Huawei-Guest",7c:c3:85:7c:e1:32,-70,-70,46,208,1,0,default
2025-01-13 14:27:46.334,"Huawei-Guest",7c:c3:85:7c:e1:32,-65,-70,60,243,1,0,default
2025-01-13 14:27:47.675,"Huawei-Guest",7c:c3:85:7c:e1:32,-72,-70,53,222,1,0,default
2025-01-13 14:27:49.287,"Huawei-Guest",7c:c3:85:7c:e1:32,-74,-70,197,189,1,0,default
2025-01-13 14:27:50.754,"Huawei-Guest",7c:c3:85:7c:e1:32,-82,-70,64,213,1,0,default
2025-01-13 14:27:52.069,"Huawei-Guest",7c:c3:85:7c:e1:32,-84,-70,29,225,1,0,default
2025-01-13 14:27:53.371,"Huawei-Guest",7c:c3:85:7c:e1:32,-84,-70,33,239,1,0,Door1_1
2025-01-13 14:27:54.680,"Huawei-Guest",7c:c3:85:7c:e2:d2,-87,-70,66,241,1,0,default
