time,ssid,bssid,rssi,rsrp1,rsrp2,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-12 20:52:35.425,"Xiaomi_pp",50:d2:f5:9c:a0:2f,-67,,1313,9893,1,0,default
2025-01-12 20:52:47.841,"Xiaomi_pp",50:d2:f5:9c:a0:2f,-64,,808,3189,1,0,default
2025-01-12 20:52:52.970,"Xiaomi_pp",50:d2:f5:9c:a0:2f,-55,,2944,,1,0,default
2025-01-12 20:53:05.217,"Xiaomi_pp",50:d2:f5:9c:a0:30,-56,,35,398,1,0,default
2025-01-12 20:53:06.774,"Xiaomi_pp",50:d2:f5:9c:a0:30,-56,,30,227,1,0,default
2025-01-12 20:53:08.135,"Xiaomi_pp",50:d2:f5:9c:a0:30,-54,,30,217,1,0,default
2025-01-12 20:53:09.514,"Xiaomi_pp",50:d2:f5:9c:a0:30,-54,,28,349,1,0,default
2025-01-12 20:53:10.999,"Xiaomi_pp",50:d2:f5:9c:a0:30,-54,,20,166,1,0,default
2025-01-12 20:53:12.292,"Xiaomi_pp",50:d2:f5:9c:a0:30,-54,,18,171,1,0,default
2025-01-12 20:53:13.596,"Xiaomi_pp",50:d2:f5:9c:a0:30,-54,,26,220,1,0,default
2025-01-12 20:53:14.954,"Xiaomi_pp",50:d2:f5:9c:a0:30,-47,,20,165,1,0,default
2025-01-12 20:53:16.230,"Xiaomi_pp",50:d2:f5:9c:a0:30,-47,,18,168,1,0,default
2025-01-12 20:53:17.530,"Xiaomi_pp",50:d2:f5:9c:a0:30,-39,,29,193,1,0,default
2025-01-12 20:53:18.859,"Xiaomi_pp",50:d2:f5:9c:a0:30,-39,,19,179,1,0,default
2025-01-12 20:53:20.166,"Xiaomi_pp",50:d2:f5:9c:a0:30,-36,,18,153,1,0,default
2025-01-12 20:53:21.440,"Xiaomi_pp",50:d2:f5:9c:a0:30,-36,,18,252,1,0,default
2025-01-12 20:53:22.806,"Xiaomi_pp",50:d2:f5:9c:a0:30,-36,,17,170,1,0,default
2025-01-12 20:53:24.106,"Xiaomi_pp",50:d2:f5:9c:a0:30,-38,,36,220,1,0,default
2025-01-12 20:53:25.470,"Xiaomi_pp",50:d2:f5:9c:a0:30,-38,,26,220,1,0,default
2025-01-12 20:53:26.818,"Xiaomi_pp",50:d2:f5:9c:a0:30,-38,,19,156,1,0,default
2025-01-12 20:53:28.095,"Xiaomi_pp",50:d2:f5:9c:a0:30,-38,,29,207,1,0,default
